,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
clrDV,0,0.0057,0.0161,0.0111,0.0054,0.0106,0.0055,0.0056,0.0055,0.0053,0.0055,0.0057,0.0054,0.0109,0,0,0.0054,0.0056,0.0108,0,0.0222,0,0.0053,0,0.0056,0,0.0108,0.0057,0.0054,0.0054
MDSeq,0,0.0112,0.0216,0,0.0056,0,0.0054,0.0166,0.0056,0,0.0056,0,0.0055,0.0109,0,0,0.016,0.0168,0.0055,0.0053,0.0056,0,0.0054,0,0.0056,0.0056,0.0054,0.0056,0,0
diffVar,0.1058,0.0579,0.102,0.0758,0.0905,0.07,0.0812,0.0387,0.0595,0.0804,0.0474,0.0457,0.0785,0.0833,0.0656,0.0466,0.0833,0.0677,0.0532,0.066,0.0645,0.0761,0.0718,0.0421,0.0588,0.0821,0.0576,0.0691,0.0635,0.0573
GAMLSS_BH,0.0437,0.0303,0.0806,0.0348,0.0485,0.0249,0.0577,0.035,0.0534,0.0343,0.0495,0.0448,0.0348,0.0443,0.045,0.039,0.0248,0.0631,0.0483,0.0246,0.0634,0.0394,0.0297,0.0051,0.05,0.0443,0.0485,0.0152,0.0256,0.0446
GAMLSS_BY,0,0,0.0263,0.0054,0,0.0053,0,0.0162,0.0054,0,0.0054,0,0.0054,0.0106,0,0,0.0053,0.0165,0.0053,0.0052,0.011,0.0052,0.0053,0,0.011,0.0054,0.0054,0.0056,0,0.0053
