,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
clrDV,0.07,0.125,0.085,0.11,0.085,0.065,0.09,0.11,0.095,0.065,0.1,0.135,0.085,0.09,0.125,0.08,0.075,0.12,0.08,0.075,0.12,0.065,0.065,0.095,0.105,0.07,0.085,0.125,0.075,0.08
MDSeq,0.065,0.115,0.095,0.11,0.115,0.06,0.085,0.11,0.11,0.075,0.11,0.135,0.095,0.09,0.145,0.07,0.075,0.12,0.09,0.065,0.11,0.095,0.085,0.11,0.12,0.105,0.075,0.11,0.105,0.085
diffVar,0.07,0.105,0.12,0.085,0.095,0.07,0.095,0.13,0.13,0.085,0.095,0.165,0.12,0.12,0.145,0.08,0.065,0.105,0.11,0.08,0.13,0.09,0.095,0.09,0.12,0.105,0.1,0.125,0.115,0.095
GAMLSS_BH,0.015,0.04,0.03,0.03,0.02,0.02,0.02,0.035,0.025,0.015,0.04,0.04,0.03,0.03,0.045,0.015,0.015,0.035,0.015,0.01,0.04,0.025,0.02,0.025,0.05,0.03,0.02,0.03,0.05,0.035
GAMLSS_BY,0.05,0.1,0.075,0.075,0.075,0.06,0.08,0.09,0.085,0.06,0.085,0.12,0.08,0.065,0.125,0.08,0.07,0.105,0.07,0.035,0.1,0.05,0.06,0.085,0.105,0.085,0.075,0.105,0.085,0.07
