"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"clrDV",0.005,0,0.015,0.01,0,0,0.005,0,0,0,0.005,0,0,0.005,0,0,0.015,0,0.005,0,0,0.015,0,0,0,0.005,0,0,0,0
"MDSeq",0.015,0.015,0.02,0.045,0.01,0.025,0.005,0.015,0.015,0.035,0.025,0.02,0.005,0.03,0.01,0.015,0.02,0.015,0.01,0.01,0.015,0.03,0.04,0.005,0.02,0.005,0.03,0.02,0.01,0.03
"diffVar",0.055,0.04,0.045,0.075,0.04,0.04,0.05,0.025,0.055,0.065,0.075,0.05,0.035,0.055,0.05,0.06,0.07,0.035,0.075,0.07,0.055,0.07,0.045,0.055,0.045,0.035,0.07,0.055,0.045,0.055
"GAMLSS_BH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
"GAMLSS_BY",0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0.005,0,0
