,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
clrDV,0.005,0.01,0.005,0.005,0,0,0.005,0,0,0,0.005,0.005,0.005,0.01,0,0.015,0,0,0,0.005,0.005,0.005,0.005,0,0,0.005,0,0.005,0.005,0
MDSeq,0.005,0.01,0,0.005,0,0,0.01,0,0,0,0.005,0.005,0.005,0.02,0,0.01,0,0.005,0.005,0.01,0.005,0.005,0.005,0.005,0,0.015,0,0.015,0.01,0
diffVar,0.01,0.03,0,0.005,0.005,0.005,0.02,0,0.005,0.005,0.01,0.015,0.02,0.02,0.005,0.005,0,0,0.01,0.015,0.005,0.01,0.005,0,0.005,0.02,0.005,0.015,0.01,0.005
GAMLSS_BH,0,0,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0
GAMLSS_BY,0.005,0.005,0,0.005,0,0,0.005,0,0,0,0.005,0.005,0.005,0.01,0,0.015,0,0,0,0.005,0,0.005,0,0,0,0.005,0,0,0.005,0
