,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
clrDV,0.0062,0.006,0.0059,0,0.0179,0.0121,0.0289,0.0061,0,0,0.0175,0.0061,0.0061,0.0119,0,0.0118,0.0117,0,0.0114,0.0235,0.0056,0,0.0058,0.0059,0,0.0245,0.006,0.0118,0.0058,0
MDSeq,0.0122,0.006,0,0.0119,0.0058,0.006,0.0123,0.006,0,0,0.0117,0.0123,0.0123,0.0057,0.0064,0.006,0.0059,0,0,0.0118,0,0,0,0.0057,0,0.0127,0.0061,0.0183,0.0059,0
diffVar,0.0743,0.0955,0.0598,0.05,0.0549,0.0989,0.0667,0.0655,0.0473,0.0765,0.1094,0.0824,0.0778,0.0899,0.0491,0.0568,0.0571,0.0674,0.0725,0.0884,0.0573,0.0726,0.0231,0.0628,0.0508,0.0625,0.082,0.1111,0.0632,0.0353
GAMLSS_BH,0.0469,0.0739,0.0361,0.041,0.0404,0.0417,0.0603,0.0206,0.0309,0.0365,0.0644,0.0792,0.0469,0.0594,0.0317,0.0408,0.0594,0.0455,0.0542,0.0505,0.0446,0.0553,0.068,0.0686,0.0455,0.0746,0.051,0.0707,0.0308,0.0359
GAMLSS_BY,0.0178,0.0058,0,0,0.0056,0.0058,0.0114,0,0,0,0.0114,0.006,0.012,0.0113,0.006,0.0057,0.0057,0,0,0.0118,0.0054,0,0,0,0,0.0181,0.006,0.0058,0.0115,0
