,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
clrDV,0.01,0.01,0.005,0,0.005,0.0099,0,0.0099,0,0.0099,0.005,0.01,0.0149,0.005,0,0.0051,0.0099,0.005,0.0099,0.0245,0.0293,0.005,0.01,0.005,0.0148,0.0149,0.0099,0.005,0.0149,0.005
MDSeq,0.005,0.01,0,0.005,0.0148,0.005,0.005,0.005,0,0.0099,0.01,0.01,0.0149,0,0.005,0,0,0.01,0.005,0.0198,0.01,0.005,0.01,0.005,0.0148,0.0101,0.0148,0.0051,0.01,0
diffVar,0.0616,0.0977,0.0385,0.0524,0.0701,0.0701,0.0622,0.0868,0.0478,0.034,0.0917,0.0922,0.0926,0.0297,0.0613,0.0913,0.0909,0.0909,0.0791,0.0922,0.0613,0.0526,0.0787,0.061,0.0569,0.0622,0.0613,0.0664,0.0876,0.0701
GAMLSS_BH,0.0521,0.0741,0.0291,0.0431,0.0566,0.0521,0.0433,0.0476,0.0244,0.0385,0.0787,0.0385,0.0566,0.0566,0.0476,0.0433,0.0566,0.0476,0.0521,0.0613,0.0741,0.0385,0.0521,0.0338,0.0566,0.0657,0.0431,0.0566,0.0476,0.0476
GAMLSS_BY,0.005,0.005,0,0,0.0099,0.0099,0.005,0,0,0.0099,0.005,0.005,0.0149,0,0,0.0051,0,0.005,0.0148,0.0197,0.0099,0.005,0.0099,0,0.0099,0.01,0.0099,0.005,0.01,0.005
