"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"clrDV",79.1,74.36,71.14,71.83,71.95,75.09,75.05,71.56,71.91,88.83,83.13,74.89,71.27,71.58,71.67,72.61,93.04,94.25,72.05,72.54,71.66,75.91,72.41,73.06,101.11,72.36,73.52,72.23,75.18,73.22
"MDSeq",185.65,188.29,187.66,197,179.31,194.95,201.85,179.33,191.98,182.3,194.3,201.94,188.9,201.87,181.47,189.69,196.93,186.36,216.51,199.18,212.84,195.56,181,189.03,196.31,234.86,223.42,227.77,182.14,193.99
"diffVar",0.74,1.34,0.73,1.39,1.36,0.74,1.37,1.37,0.77,1.39,0.75,0.88,2.74,1.66,1.37,1.42,1.4,0.73,1.03,1.17,1.91,1.42,1.43,0.8,0.83,1.89,1.2,1.32,1.43,1.11
"GAMLSS_BH",139.25,138.47,140.42,142.89,142.63,159.68,144.89,165.3,142.03,143.34,144.15,145.36,146.17,145.12,165.04,142.69,145.66,145.77,148.68,148.97,150.31,178.88,184.11,144.75,146.23,147.75,156.02,160.71,197.25,199.67
"GAMLSS_BY",139.25,138.47,140.42,142.89,142.61,159.67,144.89,165.3,142.03,143.34,144.15,145.34,146.16,145.11,165.02,142.67,145.66,145.75,148.68,148.96,150.29,178.9,184.13,144.73,146.25,147.74,156,160.69,197.23,199.65
